Sep 12 13:00:25 sui-mainnet-node cargo[3499927]: 2024-09-12T11:00:25.456283Z  INFO sui_indexer::handlers::checkpoint_handler: Resolving Move struct layouts for struct tags of size 1.
Sep 12 13:00:25 sui-mainnet-node cargo[3499927]: 2024-09-12T11:00:25.456284Z  INFO sui_types::nats_queue: Received checkpoint with seq number 95134 but expected 85168
Sep 12 13:00:25 sui-mainnet-node cargo[3499927]: 2024-09-12T11:00:25.456284Z  INFO sui_data_ingestion_core::worker_pool: finished checkpoint processing 95142 for workflow primary in 79.869µs
Sep 12 13:00:25 sui-mainnet-node cargo[3499927]: 2024-09-12T11:00:25.456285Z  INFO sui_indexer::handlers::checkpoint_handler: checkpoint download lag for cp 95143: 44635881898 ms
Sep 12 13:00:25 sui-mainnet-node cargo[3499927]: 2024-09-12T11:00:25.456285Z  INFO sui_indexer::handlers::checkpoint_handler: Indexer lag: indexed checkpoint 95137 with time now 1726138825456 and checkpoint time 1681502937556
Sep 12 13:00:25 sui-mainnet-node cargo[3499927]: 2024-09-12T11:00:25.456285Z  INFO sui_types::nats_queue: Received checkpoint with seq number 95129 but expected 85168
Sep 12 13:00:25 sui-mainnet-node cargo[3499927]: 2024-09-12T11:00:25.456286Z  INFO sui_indexer::handlers::checkpoint_handler: Indexer lag: downloaded checkpoint 95143 with time now 1726138825456 and checkpoint time 1681502943558
Sep 12 13:00:25 sui-mainnet-node cargo[3499927]: 2024-09-12T11:00:25.456286Z  INFO sui_indexer::handlers::checkpoint_handler: Indexing checkpoint data blob checkpoint_seq=95146
Sep 12 13:00:25 sui-mainnet-node cargo[3499927]: 2024-09-12T11:00:25.456285Z  INFO sui_indexer::handlers::checkpoint_handler: Indexer lag: indexed checkpoint 95141 with time now 1726138825456 and checkpoint time 1681502941536
Sep 12 13:00:25 sui-mainnet-node cargo[3499927]: 2024-09-12T11:00:25.456287Z  INFO sui_types::nats_queue: Received checkpoint with seq number 95132 but expected 85168
